,Unnamed: 0,Common name,Scientific name,Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,Catalogue number,License,month,breeding stage,sex,life_stage
155,155,Northern Goshawk,Accipiter gentilis,,Tomek Tumiel,2015-02-28,16:00,"Gmina Czarna Białostocka (near  Osierodek), białostocki, podlaskie",Poland,53.368,23.2292,200,call,"near nest 

bird-seen:yes

playback-used:no",,215067,//creativecommons.org/licenses/by-nc-sa/4.0/,2.0,"Territory-building, courtship",,
156,156,Northern Goshawk,Accipiter gentilis,,Bart Gras,2014-03-02,12:38,Uden - Maashorst Slingerpad,Netherlands,51.6884,5.6265,30,song,"

bird-seen:no

playback-used:no",,199775,//creativecommons.org/licenses/by-nc-sa/4.0/,3.0,"Territory-building, courtship",,
157,157,Northern Goshawk,Accipiter gentilis,,Patrik Åberg,2014-03-16,07:57,"Hedsmossen, Hjo Västra Götaland",Sweden,58.2903,14.167,180,"male, song","

bird-seen:yes

playback-used:no",,196982,//creativecommons.org/licenses/by-nc-sa/4.0/,3.0,"Territory-building, courtship",male,
158,158,Northern Goshawk,Accipiter gentilis,,Stein Ø. Nilsen,2014-06-18,21:45,"Frihetsli, Målselv, Norway",Norway,68.846,19.58,160,call,"H6 Telinga stereo

bird-seen:yes

playback-used:no",,193095,//creativecommons.org/licenses/by-nc-sa/4.0/,6.0,Incubation and nesting,,
159,159,Northern Goshawk,Accipiter gentilis,,Lance A. M. Benner,2014-06-27,13:14,"Kuikka area, Kuhmo, Kehys-Kainuu, Kainuu",Finland,64.1094,30.4044,220,call,"Calls by an adult northern goshawk in the treetops above a nest with goshawk chicks.  

Begging calls by a male three-toed woodpecker chick inside a nest hole about 15 meters from the goshawk nest are also audible.

Habitat: boreal forest with a lot of spruce, pine, birch, and beech.

Equipment: Olympus LS-10S with a Sennheiser MKE-400 short shotgun microphone.
Modifications to the file: cropped.

bird-seen:yes

playback-used:no",Picoides tridactylus,186183,//creativecommons.org/licenses/by-nc-sa/4.0/,6.0,Incubation and nesting,,
160,160,Northern Goshawk,Accipiter gentilis,atricapillus,Andrew Spencer,2014-07-03,19:00,"Fairbanks, Fairbanks North Star Borough, Alaska",United States,64.8378,-147.7345,140,call,"natural vocalization; from a female bird reacting to the presence of the Great Horned Owl that is also audible in this track.  While calling the bird was moving between perches in tall, dense aspen woodland in a suburb of Fairbanks.  At one point it had an actual physical encounter with the owl, but I did not get that on tape.  Presumably there was a nest or young nearby.

bird-seen:yes

playback-used:no","Bubo virginianus,Colaptes auratus,Turdus migratorius",185619,//creativecommons.org/licenses/by-nc-sa/4.0/,7.0,Fledging,,
161,161,Northern Goshawk,Accipiter gentilis,,Tim Spahr,2014-06-15,13:30,"Sudbury, Middlesex County, Massachusetts",United States,42.3834,-71.4162,60,alarm call,"Alarm calls from presumed male Northern Goshawk, extremely defensive of the area.  It came within inches of me.  Present in mixed pitch pine and  white pine/deciduous forest.  Bird followed me for 300 meters!

bird-seen:yes

playback-used:no",,183577,//creativecommons.org/licenses/by-nc-sa/4.0/,6.0,Incubation and nesting,,
162,162,Northern Goshawk,Accipiter gentilis,,Piotr Szczypinski,2014-06-23,08:30,"Gmina Iłowo-Osada, Działdowo County, Warmian-Masurian Voivodeship",Poland,53.1448,20.2557,150,"alarm call, begging call, female, flight call","3 juveniles and adult female. In 0:31 the alarm call of female with food. Habitat: mixed forest.

bird-seen:yes

playback-used:no","Sitta europaea,Fringilla coelebs,Phylloscopus sibilatrix,Muscicapa striata,Oriolus oriolus,Sylvia atricapilla,Cyanistes caeruleus",183559,//creativecommons.org/licenses/by-nc-nd/4.0/,6.0,Incubation and nesting,male,
163,163,Northern Goshawk,Accipiter gentilis,,Piotr Szczypinski,2014-06-23,08:30,"Gmina Iłowo-Osada, Działdowo County, Warmian-Masurian Voivodeship",Poland,53.1448,20.2557,150,"begging call, call, juvenile","Habitat: mixed forest. 

bird-seen:yes

playback-used:no","Fringilla coelebs,Coccothraustes coccothraustes,Oriolus oriolus,Phylloscopus sibilatrix,Sylvia atricapilla",183558,//creativecommons.org/licenses/by-nc-nd/4.0/,6.0,Incubation and nesting,,juvenile
164,164,Northern Goshawk,Accipiter gentilis,,Piotr Szczypinski,2014-06-09,04:30,"Gmina Lipowiec Kościelny, Mława County, Masovian Voivodeship",Poland,53.086,20.1267,170,call,"

bird-seen:no

playback-used:no",,181505,//creativecommons.org/licenses/by-nc-nd/4.0/,6.0,Incubation and nesting,,
165,165,Northern Goshawk,Accipiter gentilis,,Dawid Jablonski,2013-06-06,20:00,"Gmina Niemce (near  Rudka Kozłowiecka), lubelski, Lublin Voivodeship",Poland,51.3765,22.5732,180,call,,,165760,//creativecommons.org/licenses/by-nc-sa/3.0/,6.0,Incubation and nesting,,
166,166,Northern Goshawk,Accipiter gentilis,,Franck HIDVEGI,2013-07-20,11:30,"Auderghem, Brussels",Belgium,50.7954,4.4391,110,alarm call,"Accipiter gentilis after discussion (http://www.xeno-canto.org/forum/topic/6683)

bird-seen:no

playback-used:no",,143032,//creativecommons.org/licenses/by-nc-sa/3.0/,7.0,Fledging,,
167,167,Northern Goshawk,Accipiter gentilis,,Allar,2012-06-15,09:30,"Valjala Parish, Saaremaa",Estonia,58.4157,22.8296,20-30,flight call,It is in the forest.,,129861,//creativecommons.org/licenses/by-nc-sa/3.0/,6.0,Incubation and nesting,,
168,168,Northern Goshawk,Accipiter gentilis,laingi,gerry morigeau,1996-06-22,13:00,"Skeena-Queen Charlotte E (near  Queen Charlotte), Skeena-Queen Charlotte, British Columbia",Canada,52.6562,-131.8118,100,alarm call,"recorded at nest site using parabolic microphone

bird-seen:yes",,126082,//creativecommons.org/licenses/by-nc-sa/3.0/,6.0,Incubation and nesting,,
169,169,Northern Goshawk,Accipiter gentilis,gentilis,Jarek Matusiak,2013-02-08,14:00,"Warszawa (near  Warsaw), Warszawa, Masovian Voivodeship",Poland,52.3506,20.9316,80,"flight call, juvenile, male, sound of wings","bird in flight probably searching for item

bird-seen:yes

playback-used:no",,121312,//creativecommons.org/licenses/by-nc-sa/3.0/,2.0,"Territory-building, courtship",male,juvenile
170,170,Northern Goshawk,Accipiter gentilis,gentilis,Jarek Matusiak,2012-10-28,15:00,"Stawy w miejscowości Wilga, Ponds in Golden Oriole village, Poland",Poland,51.841,21.378,?,sound of wings hunting,"bird was approaching from behind (probably sitting on the alder tree near, attacking after flushing of flock of Teal, sound of goshawk wigs and escaping by diving ducks. Bird was young probable male, attacking from 10m above to the central point directed to the Teal 60 m further.  - to this day I thought it will be only sound of bird I did not record in my life in nature - but miracle hapens....",,111991,//creativecommons.org/licenses/by-nc-nd/2.5/,10.0,Non-breeding,,
171,171,Northern Goshawk,Accipiter gentilis,,Patrik Åberg,2012-08-05,11:39,"Hallåsen, Almnäs Hjo Västergötland",Sweden,58.2728,14.1628,?,begging call,Begging juvenil,,107271,//creativecommons.org/licenses/by-nc-nd/2.5/,8.0,Fledging,,
172,172,Northern Goshawk,Accipiter gentilis,,Jarek Matusiak,2010-03-28,14:00,Grabnik near Jaktorów,Poland,52.1159,20.5428,?,call,call probably male,,102849,//creativecommons.org/licenses/by-nc-nd/2.5/,3.0,"Territory-building, courtship",,
173,173,Northern Goshawk,Accipiter gentilis,,Jarek Matusiak,2010-05-02,16:00,"Rez. Jabłona, Poland",Poland,52.387,20.876,?,call,call probably female,,102848,//creativecommons.org/licenses/by-nc-nd/2.5/,5.0,Incubation and nesting,,
174,174,Northern Goshawk,Accipiter gentilis,,Jarek Matusiak,2010-05-02,16:00,"Rez. Jabłona, Poland",Poland,52.387,20.876,?,call fledgling,,,102847,//creativecommons.org/licenses/by-nc-nd/2.5/,5.0,Incubation and nesting,,fledgling
175,175,Northern Goshawk,Accipiter gentilis,,Patrik Åberg,2011-07-08,07:21,"Tivedens National Park, Västergötland",Sweden,58.7098,14.6201,?,Begging call,Call from two nestlings. At end of recording Eurasian Jay mimicking Northern Goshawk in distance,"Regulus regulus,Troglodytes troglodytes,Garrulus glandarius",84019,//creativecommons.org/licenses/by-nc-nd/2.5/,7.0,Fledging,,
176,176,Northern Goshawk,Accipiter gentilis,,Volker Arnold,2007-05-22,18.33,"Riesewohld, Dithmarschen, Schleswig-Holstein",Germany,54.1498,9.2039,23,call,"in mixed dedicuous forest, calls of a female?","Fringilla coelebs,Sylvia atricapilla",72937,//creativecommons.org/licenses/by-nc-nd/2.5/,5.0,Incubation and nesting,,
177,177,Northern Goshawk,Accipiter gentilis,,Volker Arnold,0000-00-00,?,"Riesewohld, Dithmarschen, Schleswig-Holstein",Germany,54.141,9.221,23,call,"In mixed dedicuous forest near aerie. Early spring, 2006 - 2008 (data lost).

bird-seen:no

playback-used:no",,72816,//creativecommons.org/licenses/by-nc-nd/2.5/,,,,
178,178,Northern Goshawk,Accipiter gentilis,atricapillus,Tayler Brooks,2010-05-12,14:20,"Presque Isle, Aroostook Co., Maine",United States,46.732,-67.922,216,Call,Recorded as bird made a pass about 20 ft from the mic.,Spinus tristis,59174,//creativecommons.org/licenses/by-nc-nd/2.5/,5.0,Incubation and nesting,,
179,179,Northern Goshawk,Accipiter gentilis,atricapillus,Andrew Spencer,2010-05-12,11:00,"Presque Isle, Aroostook Co., Maine",United States,46.732,-67.922,220,call,calls from a female bird near a nest,,49347,//creativecommons.org/licenses/by-nc-nd/2.5/,5.0,Incubation and nesting,,
180,180,Northern Goshawk,Accipiter gentilis,atricapillus,Andrew Spencer,2010-05-12,11:00,"Presque Isle, Aroostook Co., Maine",United States,46.732,-67.922,220,call,calls from a female bird near a nest,,49346,//creativecommons.org/licenses/by-nc-nd/2.5/,5.0,Incubation and nesting,,
181,181,Northern Goshawk,Accipiter gentilis,atricapillus,Andrew Spencer,2010-05-12,11:00,"Presque Isle, Aroostook Co., Maine",United States,46.732,-67.922,220,call,calls from a female bird near a nest,,49345,//creativecommons.org/licenses/by-nc-nd/2.5/,5.0,Incubation and nesting,,
182,182,Northern Goshawk,Accipiter gentilis,,Sander Bot,2009-03-15,?,"Elzetterbosch, Vijlen, Zuid-Limburg",Netherlands,50.7795,5.9442,194,call,,,31651,//creativecommons.org/licenses/by-nc-nd/2.5/,3.0,"Territory-building, courtship",,
183,183,Northern Goshawk,Accipiter gentilis,gentilis,Stein Ø. Nilsen,2008-05-13,06:00,Straumsbukta ,Norway,69.5667,18.6001,100,call,Male warning near nestsite,Turdus iliacus,28005,//creativecommons.org/licenses/by-nc-nd/2.5/,5.0,Incubation and nesting,,
184,184,Northern Goshawk,Accipiter gentilis,,Patrik Åberg,2007-03-25,?,"Tivedens National Park, Västergötland ",Sweden,58.709763,14.620056,?,Call,,,27025,//creativecommons.org/licenses/by-nc-sa/3.0/,3.0,"Territory-building, courtship",,
185,185,Northern Goshawk,Accipiter gentilis,,Patrik Åberg,2008-05-03,?,"Tivedens National Park, Västergötland ",Sweden,58.709763,14.620056,?,Call,,,27024,//creativecommons.org/licenses/by-nc-sa/3.0/,5.0,Incubation and nesting,,
