,Unnamed: 0,Common name,Scientific name,Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,Catalogue number,License,month,breeding stage,sex,life_stage
27,27,Northern Goshawk,Accipiter gentilis,,Beatrix Saadi-Varchmin,2021-03-23,09:12,"Hagenheimer Wald Süd, Hofstetten (near Landsberg), Upper Bavaria, Bavaria",Germany,47.995,10.9439,700,"adult, call, female, male","temperature above 0°C, birds in the forest are very active. The Accipiters probably a pair, very excited. Series of male calls. In 00:11 and 00:12 two female bird calls. 

bird-seen:no

playback-used:no","Dendrocopos major,Turdus philomelos,Fringilla coelebs",631168,//creativecommons.org/licenses/by-nc-sa/4.0/,3.0,"Territory-building, courtship",male,adult
28,28,Northern Goshawk,Accipiter gentilis,,Beatrix Saadi-Varchmin,2021-02-07,07:56,"Hagenheimer Wald  Süd (near  Hofstetten), Landsberg, Oberbayern, Bayern",Germany,47.9896,10.9438,700,"adult, call, female, male","a lot of shorter male call series. In 00:30 and 01:06 female call. At the end Bullfinch and Blue Tit sing

bird-seen:no

playback-used:no","Pyrrhula pyrrhula,Cyanistes caeruleus",629031,//creativecommons.org/licenses/by-nc-sa/4.0/,2.0,"Territory-building, courtship",male,adult
29,29,Northern Goshawk,Accipiter gentilis,,Beatrix Saadi-Varchmin,2021-03-08,16:32,"Hagenheimer Wald  Süd (near  Hofstetten), Landsberg, Oberbayern, Bayern",Germany,47.9896,10.9438,700,"adult, call, typical call serie","cut of a longer recording

bird-seen:no

playback-used:no",,629030,//creativecommons.org/licenses/by-nc-sa/4.0/,3.0,"Territory-building, courtship",,adult
30,30,Northern Goshawk,Accipiter gentilis,,Beatrix Saadi-Varchmin,2021-03-08,16:37,"Hagenheimer Wald  Süd (near  Hofstetten), Landsberg, Oberbayern, Bayern",Germany,47.9896,10.9438,700,"adult, call, typical call serie","cut of a longer recording

bird-seen:no

playback-used:no",,629028,//creativecommons.org/licenses/by-nc-sa/4.0/,3.0,"Territory-building, courtship",,adult
31,31,Northern Goshawk,Accipiter gentilis,gentilis,Jarek Matusiak,2021-03-04,7:00,"Gmina Kampinos (near  Kampinos), warszawski zachodni, mazowieckie",Poland,52.2671,20.4603,90,"adult, begging call, female",,,627177,//creativecommons.org/licenses/by-nc-sa/4.0/,3.0,"Territory-building, courtship",male,adult
32,32,Northern Goshawk,Accipiter gentilis,gentilis,Jarek Matusiak,2021-03-04,7:00,"Gmina Kampinos (near  Kampinos), warszawski zachodni, mazowieckie",Poland,52.2671,20.4603,90,"Advertising call, adult, call, duet, female, male, song",,,627175,//creativecommons.org/licenses/by-nc-sa/4.0/,3.0,"Territory-building, courtship",male,adult
33,33,Northern Goshawk,Accipiter gentilis,gentilis,Jarek Matusiak,2021-03-04,7:00,"Gmina Kampinos (near  Kampinos), warszawski zachodni, mazowieckie",Poland,52.2671,20.4603,90,"Advertising call, adult, male, song",,,627173,//creativecommons.org/licenses/by-nc-sa/4.0/,3.0,"Territory-building, courtship",male,adult
34,34,Northern Goshawk,Accipiter gentilis,gentilis,Jarek Matusiak,2021-03-04,7:00,"Gmina Kampinos (near  Kampinos), warszawski zachodni, mazowieckie",Poland,52.2671,20.4603,90,"Advertising call, adult, male, song",,,627170,//creativecommons.org/licenses/by-nc-sa/4.0/,3.0,"Territory-building, courtship",male,adult
35,35,Northern Goshawk,Accipiter gentilis,,Stanislas Wroza,2021-02-13,08:00,"Gazeran, Yvelines, Île-de-France",France,48.6118,1.7581,180,song,"

bird-seen:yes

playback-used:no",,626574,//creativecommons.org/licenses/by-nc-sa/4.0/,2.0,"Territory-building, courtship",,
36,36,Northern Goshawk,Accipiter gentilis,,Stanislas Wroza,2021-02-13,08:00,"Gazeran, Yvelines, Île-de-France",France,48.6118,1.7581,180,song,"

bird-seen:yes

playback-used:no",,626573,//creativecommons.org/licenses/by-nc-sa/4.0/,2.0,"Territory-building, courtship",,
37,37,Northern Goshawk,Accipiter gentilis,,Stanislas Wroza,2021-02-13,08:00,"Gazeran, Yvelines, Île-de-France",France,48.6118,1.7581,180,"alarm call, call, flight call, two birds answering each other","

bird-seen:yes

playback-used:no",,626570,//creativecommons.org/licenses/by-nc-sa/4.0/,2.0,"Territory-building, courtship",,
38,38,Northern Goshawk,Accipiter gentilis,,Stanislas Wroza,2021-02-13,08:00,"Gazeran, Yvelines, Île-de-France",France,48.6118,1.7581,180,"call, flight call, song","

bird-seen:yes

playback-used:no",,626563,//creativecommons.org/licenses/by-nc-sa/4.0/,2.0,"Territory-building, courtship",,
39,39,Northern Goshawk,Accipiter gentilis,,Stanislas Wroza,2021-02-13,08:00,"Gazeran, Yvelines, Île-de-France",France,48.6118,1.7581,180,"flight call, song","

bird-seen:yes

playback-used:no",,626552,//creativecommons.org/licenses/by-nc-sa/4.0/,2.0,"Territory-building, courtship",,
40,40,Northern Goshawk,Accipiter gentilis,,Stanislas Wroza,2021-02-13,08:00,"Gazeran, Yvelines, Île-de-France",France,48.6118,1.7581,180,"call, short call, song","

bird-seen:yes

playback-used:no",,626551,//creativecommons.org/licenses/by-nc-sa/4.0/,2.0,"Territory-building, courtship",,
41,41,Northern Goshawk,Accipiter gentilis,,Stanislas Wroza,2021-02-13,08:00,"Gazeran, Yvelines, Île-de-France",France,48.6118,1.7581,180,"call, short call, song","

bird-seen:yes

playback-used:no",,626549,//creativecommons.org/licenses/by-nc-sa/4.0/,2.0,"Territory-building, courtship",,
42,42,Northern Goshawk,Accipiter gentilis,gentilis,Jarek Matusiak,2021-03-04,12:00,"Gmina Leoncin (near  Leoncin), nowodworski, mazowieckie",Poland,52.3948,20.5319,70,"adult, call, duet, female, male, song",Male advertising call to the female,"Turdus viscivorus,Parus major",626425,//creativecommons.org/licenses/by-nc-sa/4.0/,3.0,"Territory-building, courtship",male,adult
43,43,Northern Goshawk,Accipiter gentilis,gentilis,Jarek Matusiak,2021-03-04,12:00,"Gmina Leoncin (near  Leoncin), nowodworski, mazowieckie",Poland,52.3948,20.5319,70,"adult, begging call, call, duet, female, male",Female begging for attention and bringing the food and probable copulation to the male,"Turdus viscivorus,Parus major",626417,//creativecommons.org/licenses/by-nc-sa/4.0/,3.0,"Territory-building, courtship",male,adult
44,44,Northern Goshawk,Accipiter gentilis,gentilis,Jarek Matusiak,2021-03-04,12:00,"Gmina Leoncin (near  Leoncin), nowodworski, mazowieckie",Poland,52.3948,20.5319,70,"adult, begging call, call, female",Female begging for attention and bringing the food and probable copulation to the male,"Turdus viscivorus,Parus major",626367,//creativecommons.org/licenses/by-nc-sa/4.0/,3.0,"Territory-building, courtship",male,adult
45,45,Northern Goshawk,Accipiter gentilis,gentilis,Jarek Matusiak,2021-03-04,12:00,"Gmina Leoncin (near  Leoncin), nowodworski, mazowieckie",Poland,52.3948,20.5319,70,"adult, call, female, male",,,626360,//creativecommons.org/licenses/by-nc-sa/4.0/,3.0,"Territory-building, courtship",male,adult
46,46,Northern Goshawk,Accipiter gentilis,gentilis,Jarek Matusiak,2021-03-04,12:00,"Gmina Leoncin (near  Leoncin), nowodworski, mazowieckie",Poland,52.3948,20.5319,70,"adult, call, female, male",,,626354,//creativecommons.org/licenses/by-nc-sa/4.0/,3.0,"Territory-building, courtship",male,adult
47,47,Northern Goshawk,Accipiter gentilis,gentilis,Jarek Matusiak,2021-03-03,08:00,"Gmina Leoncin (near  Leoncin), nowodworski, mazowieckie",Poland,52.3948,20.5319,70,"adult, call",,,626018,//creativecommons.org/licenses/by-nc-sa/4.0/,3.0,"Territory-building, courtship",,adult
48,48,Northern Goshawk,Accipiter gentilis,gentilis,Jarek Matusiak,2021-03-03,08:00,"Gmina Leoncin (near  Leoncin), nowodworski, mazowieckie",Poland,52.3948,20.5319,70,"adult, call",,,626012,//creativecommons.org/licenses/by-nc-sa/4.0/,3.0,"Territory-building, courtship",,adult
49,49,Northern Goshawk,Accipiter gentilis,gentilis,Jarek Matusiak,2021-02-23,14:00,"Gmina Leszno (near  Leszno), Powiat warszawski zachodni, mazowieckie",Poland,52.2573,20.5916,90,"adult, call, female",,Grus grus,624073,//creativecommons.org/licenses/by-nc-sa/4.0/,2.0,"Territory-building, courtship",male,adult
50,50,Northern Goshawk,Accipiter gentilis,gentilis,Jarek Matusiak,2021-02-23,14:00,"Gmina Leszno (near  Leszno), Powiat warszawski zachodni, mazowieckie",Poland,52.2573,20.5916,90,"adult, begging call, female",,Grus grus,624068,//creativecommons.org/licenses/by-nc-sa/4.0/,2.0,"Territory-building, courtship",male,adult
51,51,Northern Goshawk,Accipiter gentilis,,Stanislas Wroza,2021-01-30,09:00,"Gazeran, Yvelines, Île-de-France",France,48.6118,1.7581,180,"a few short calls, flight call, song","

bird-seen:yes

playback-used:no",,619737,//creativecommons.org/licenses/by-nc-sa/4.0/,1.0,Non-breeding,,
52,52,Northern Goshawk,Accipiter gentilis,,Stanislas Wroza,2021-01-30,09:00,"Gazeran, Yvelines, Île-de-France",France,48.6118,1.7581,180,"flight call, song","

bird-seen:yes

playback-used:no",,619736,//creativecommons.org/licenses/by-nc-sa/4.0/,1.0,Non-breeding,,
53,53,Northern Goshawk,Accipiter gentilis,,Stanislas Wroza,2021-01-30,09:00,"Gazeran, Yvelines, Île-de-France",France,48.6118,1.7581,180,"flight call, song","

bird-seen:yes

playback-used:no",,619727,//creativecommons.org/licenses/by-nc-sa/4.0/,1.0,Non-breeding,,
54,54,Northern Goshawk,Accipiter gentilis,,brickegickel,2021-01-09,09:00,"Frankfurt am Main, Darmstadt, Hessen",Germany,50.1365,8.6903,140,call,"

bird-seen:no

playback-used:no",,613938,//creativecommons.org/licenses/by-nc-sa/4.0/,1.0,Non-breeding,,
55,55,Northern Goshawk,Accipiter gentilis,,Lars Edenius,2019-07-05,05:00,"Brånsjön, Vännäs, Västerbotten County",Sweden,63.8986,19.8494,70,"adult, call","Unattended diurnal recording with hidden microphones

bird-seen:no

playback-used:no",,610200,//creativecommons.org/licenses/by-nc-sa/4.0/,7.0,Fledging,,adult
56,56,Northern Goshawk,Accipiter gentilis,,Lars Edenius,2019-07-04,06:00,"Brånsjön, Vännäs, Västerbotten County",Sweden,63.8986,19.8494,70,"adult, call","Unattended diurnal recording with hidden microphones

bird-seen:no

playback-used:no",,610199,//creativecommons.org/licenses/by-nc-sa/4.0/,7.0,Fledging,,adult
57,57,Northern Goshawk,Accipiter gentilis,,Simon Elliott,1991-07-14,09:00,"Northumberland, England",United Kingdom,55.2348,-2.5871,200,"begging call, juvenile","begging fledged young, perched; under licence

bird-seen:yes

playback-used:no",,591249,//creativecommons.org/licenses/by-nc-nd/4.0/,7.0,Fledging,,juvenile
58,58,Northern Goshawk,Accipiter gentilis,,Simon Elliott,1991-07-07,07:30,"Northumberland, England",United Kingdom,55.2348,-2.5871,200,"call, female, male","food pass: female wail, male 'kek'; under licence

bird-seen:yes

playback-used:no","Fringilla coelebs,Loxia curvirostra",591248,//creativecommons.org/licenses/by-nc-nd/4.0/,7.0,Fledging,male,
59,59,Northern Goshawk,Accipiter gentilis,,Simon Elliott,1991-07-07,07:00,"Northumberland, England",United Kingdom,55.2348,-2.5871,200,"adult, alarm call, female","alarm call, cause unknown, agitated with wing flapping; under licence

bird-seen:yes

playback-used:no",,591247,//creativecommons.org/licenses/by-nc-nd/4.0/,7.0,Fledging,male,adult
60,60,Northern Goshawk,Accipiter gentilis,,Simon Elliott,1991-06-29,05:00,"Northumberland, England",United Kingdom,55.2348,-2.5871,200,"adult, call, female","food call female, given from perch near nest early morning towards male; under licence

bird-seen:yes

playback-used:no","Turdus philomelos,Numenius arquata",591244,//creativecommons.org/licenses/by-nc-nd/4.0/,6.0,Incubation and nesting,male,adult
61,61,Northern Goshawk,Accipiter gentilis,,Simon Elliott,1990-06-21,16:00,"Northumberland, England",United Kingdom,55.2348,-2.5871,200,"call, hatchling or nestling","alarm call on ground after being ringed, chick approx 3w old; very close, under licence

bird-seen:yes

playback-used:no",Fringilla coelebs,591243,//creativecommons.org/licenses/by-nc-nd/4.0/,6.0,Incubation and nesting,,
62,62,Northern Goshawk,Accipiter gentilis,,Simon Elliott,1990-06-21,15:30,"Northumberland, England",United Kingdom,55.2348,-2.5871,200,"alarm call, hatchling or nestling","alarm call from nest to climbing ringer, chicks approx 3w old; very close, under licence

bird-seen:yes

playback-used:no",Fringilla coelebs,591242,//creativecommons.org/licenses/by-nc-nd/4.0/,6.0,Incubation and nesting,,
63,63,Northern Goshawk,Accipiter gentilis,,Simon Elliott,1990-06-21,15:00,"Northumberland, England",United Kingdom,55.2348,-2.5871,200,"call, hatchling or nestling","quiet wailing call, approx 3w old; very close, under licence

bird-seen:yes

playback-used:no",Fringilla coelebs,591241,//creativecommons.org/licenses/by-nc-nd/4.0/,6.0,Incubation and nesting,,
64,64,Northern Goshawk,Accipiter gentilis,,Simon Elliott,1990-06-16,07:30,"Northumberland, England",United Kingdom,55.2348,-2.5871,200,"call, hatchling or nestling","chittering nestling, approx 10d old; very close, under licence

bird-seen:yes

playback-used:no","Turdus philomelos,Fringilla coelebs,Troglodytes troglodytes",591240,//creativecommons.org/licenses/by-nc-nd/4.0/,6.0,Incubation and nesting,,
65,65,Northern Goshawk,Accipiter gentilis,,Simon Elliott,1990-06-06,06:00,"Northumberland, England",United Kingdom,55.2348,-2.5871,200,"begging call, hatchling or nestling","newly-hatched nestlings (x3); very close, under licence

bird-seen:yes

playback-used:no","Turdus philomelos,Fringilla coelebs,Troglodytes troglodytes",591239,//creativecommons.org/licenses/by-nc-nd/4.0/,6.0,Incubation and nesting,,
66,66,Northern Goshawk,Accipiter gentilis,,Simon Elliott,2019-02-22,07:30,"Northumberland, England",United Kingdom,55.2348,-2.5871,200,"call, female","kekking call female after eating food supplied by male

bird-seen:yes

playback-used:no",Fringilla coelebs,591237,//creativecommons.org/licenses/by-nc-nd/4.0/,2.0,"Territory-building, courtship",male,
67,67,Northern Goshawk,Accipiter gentilis,,Simon Elliott,2008-03-26,10:30,"Northumberland, England",United Kingdom,55.2348,-2.5871,200,"adult, call","distant kekking in territory

bird-seen:yes

playback-used:no","Troglodytes troglodytes,Fringilla coelebs",591235,//creativecommons.org/licenses/by-nc-nd/4.0/,3.0,"Territory-building, courtship",,adult
68,68,Northern Goshawk,Accipiter gentilis,gentilis,Jarek Matusiak,2015-03-15,11:00,"Gmina Leszno (near  Leszno), Powiat warszawski zachodni, mazowieckie",Poland,52.2573,20.5916,90,"begging call, female, flight call, juvenile",Begging call for food immature female ,,591228,//creativecommons.org/licenses/by-nc-sa/4.0/,3.0,"Territory-building, courtship",male,juvenile
69,69,Northern Goshawk,Accipiter gentilis,,Simon Elliott,1990-04-16,06:30,"Kielder Forest, Northumberland, England",United Kingdom,55.2348,-2.5871,200,"begging call, hatchling or nestling","young in nest approx 2w old, adult female comes & goes; very close, under licence

bird-seen:yes

playback-used:no",Fringilla coelebs,591204,//creativecommons.org/licenses/by-nc-nd/4.0/,4.0,Incubation and nesting,,
70,70,Northern Goshawk,Accipiter gentilis,,Simon Elliott,1990-04-08,08:30,"Kielder Forest, Northumberland, England",United Kingdom,55.2348,-2.5871,200,"adult, call","slow kekking, adult flies onto nest; very close, under licence

bird-seen:yes

playback-used:no",,591203,//creativecommons.org/licenses/by-nc-nd/4.0/,4.0,Incubation and nesting,,adult
71,71,Northern Goshawk,Accipiter gentilis,,Simon Elliott,1990-04-07,08:00,"Kielder Forest, Northumberland, England",United Kingdom,55.2348,-2.5871,200,"adult, call","rapid kekking, adult flies onto nest; very close, under licence

bird-seen:yes

playback-used:no",,591202,//creativecommons.org/licenses/by-nc-nd/4.0/,4.0,Incubation and nesting,,adult
72,72,Northern Goshawk,Accipiter gentilis,,Simon Elliott,1990-04-07,08:00,"Kielder Forest, Northumberland, England",United Kingdom,55.2348,-2.5871,200,"adult, call","alighting call on nest, 2 cuts; very close, under licence

bird-seen:yes

playback-used:no",,591201,//creativecommons.org/licenses/by-nc-nd/4.0/,4.0,Incubation and nesting,,adult
73,73,Northern Goshawk,Accipiter gentilis,,Simon Elliott,1990-04-07,08:00,"Kielder Forest, Northumberland, England",United Kingdom,55.2348,-2.5871,200,"adult, call","alighting call on nest; very close, under licence

bird-seen:yes

playback-used:no",,591200,//creativecommons.org/licenses/by-nc-nd/4.0/,4.0,Incubation and nesting,,adult
74,74,Northern Goshawk,Accipiter gentilis,,Alvaro Ortiz Troncoso,2020-07-19,10:05,"Berlin, Berlin",Germany,52.5157,13.3384,40,"begging call, call, female, juvenile","Juvenile female goshawk, observed for several days, each time for more than 30 minutes at the exact same location. Each time same behaviour, begging call, no other goshawks seen. Urban location (exact location undisclosed to protect from poachers).

bird-seen:yes

playback-used:no",,578075,//creativecommons.org/licenses/by-sa/4.0/,7.0,Fledging,male,juvenile
75,75,Northern Goshawk,Accipiter gentilis,,Alvaro Ortiz Troncoso,2020-07-18,09:17,"Berlin, Berlin",Germany,52.5157,13.3384,40,"begging call, call, female, juvenile","Juvenile female goshawk, observed for several days, each time for more than 30 minutes at the exact same location. Each time same behaviour, begging call, no other goshawks seen. Urban location (exact location undisclosed to protect from poachers).

bird-seen:yes

playback-used:no","Turdus merula,Erithacus rubecula",578071,//creativecommons.org/licenses/by-sa/4.0/,7.0,Fledging,male,juvenile
76,76,Northern Goshawk,Accipiter gentilis,,Lars Edenius,2020-07-07,21:30,"Yttertavle, Umeå, Västerbottens län",Sweden,63.7725,20.4065,10,call,"Presumably adult warning call

bird-seen:no

playback-used:no",,574582,//creativecommons.org/licenses/by-nc-sa/4.0/,7.0,Fledging,,
77,77,Northern Goshawk,Accipiter gentilis,,Lars Edenius,2020-07-07,21:00,"Yttertavle, Umeå, Västerbottens län",Sweden,63.7725,20.4065,10,"adult, begging call, call, juvenile","Recorded during passive bioacoustic monitoring

bird-seen:yes

playback-used:no",,574317,//creativecommons.org/licenses/by-nc-sa/4.0/,7.0,Fledging,,adult
78,78,Northern Goshawk,Accipiter gentilis,,Lars Edenius,2020-07-08,09:00,"Yttertavle, Umeå, Västerbottens län",Sweden,63.7725,20.4065,10,"begging call, juvenile","Adult delivers food. Recorded during passive bioacoustic monitoring

bird-seen:yes

playback-used:no",,574315,//creativecommons.org/licenses/by-nc-sa/4.0/,7.0,Fledging,,juvenile
79,79,Northern Goshawk,Accipiter gentilis,,Lars Edenius,2020-07-07,21:00,"Yttertavle, Umeå, Västerbottens län",Sweden,63.7725,20.4065,10,"begging call, juvenile","Recorded during passive bioacoustic monitoring

bird-seen:yes

playback-used:no",,574314,//creativecommons.org/licenses/by-nc-sa/4.0/,7.0,Fledging,,juvenile
80,80,Northern Goshawk,Accipiter gentilis,,Eetu Paljakka,2020-06-13,06:05,"Kitula, Hamina, Kymenlaakso",Finland,60.7502,27.1698,60,"call, pair","

bird-seen:yes

playback-used:no","Cuculus canorus,Fringilla coelebs,Regulus regulus,Turdus merula,Erithacus rubecula,Spinus spinus,Troglodytes troglodytes",568177,//creativecommons.org/licenses/by-nc-sa/4.0/,6.0,Incubation and nesting,,
81,81,Northern Goshawk,Accipiter gentilis,,Alain Malengreau,2020-06-03,21:45,"Mons, Hainaut, Wallonie",Belgium,50.4892,3.8897,60,flight call,"Low level flight behind trees at roughly 100meters from me.HP Filter 500Hz, -6dB. Telinga Pro 5 + Mixpre 3

bird-seen:no

playback-used:no",,564884,//creativecommons.org/licenses/by-nc-sa/4.0/,6.0,Incubation and nesting,,
82,82,Northern Goshawk,Accipiter gentilis,gentilis,Arend Wassink,2020-05-06,07:30,"Dorpzicht, De Cocksdorp, Texel, Noord-Holland",Netherlands,53.1543,4.8792,0,"call, sex uncertain","call of one bird of a breeding pair, near the nest

bird-seen:no

playback-used:no",,557979,//creativecommons.org/licenses/by-nc-sa/4.0/,5.0,Incubation and nesting,,
83,83,Northern Goshawk,Accipiter gentilis,,Rolf A. de By,2020-04-27,07:00,"Elferinkshave, Haaksbergen, Overijssel",Netherlands,52.1219,6.8237,40,"call, chattering, wailing","

bird-seen:yes

playback-used:no","Fringilla coelebs,Erithacus rubecula,Troglodytes troglodytes,Cuculus canorus",551452,//creativecommons.org/licenses/by-nc-sa/4.0/,4.0,Incubation and nesting,,
84,84,Northern Goshawk,Accipiter gentilis,,Hannu Varkki,2020-04-14,06:00,"Uutela, Helsinki, Uusimaa",Finland,60.2004,25.1779,10,"adult, call","

bird-seen:yes

playback-used:no","Parus major,Turdus merula",546385,//creativecommons.org/licenses/by-nc-sa/4.0/,4.0,Incubation and nesting,,adult
85,85,Northern Goshawk,Accipiter gentilis,,Hannu Varkki,2020-04-14,06:00,"Uutela, Helsinki, Uusimaa",Finland,60.2004,25.1779,10,"adult, call","

bird-seen:yes

playback-used:no","Parus major,Turdus merula",546384,//creativecommons.org/licenses/by-nc-sa/4.0/,4.0,Incubation and nesting,,adult
86,86,Northern Goshawk,Accipiter gentilis,,Jan Havlíček,2019-03-17,04:00,"Varvažov, Písek, Jihočeský kraj",Czech Republic,49.4499,14.1547,440,call,habitat = edge of forest meadow,Strix aluco,538257,//creativecommons.org/licenses/by-nc-sa/4.0/,3.0,"Territory-building, courtship",,
87,87,Northern Goshawk,Accipiter gentilis,,Lars Edenius,2019-07-03,06:00,"Brånsjön, Vännäs, Västerbotten County",Sweden,63.8986,19.8494,70,"adult, call","

bird-seen:no

playback-used:no",,533684,//creativecommons.org/licenses/by-nc-sa/4.0/,7.0,Fledging,,adult
88,88,Northern Goshawk,Accipiter gentilis,,Lars Edenius,2019-07-03,05:30,"Brånsjön, Vännäs, Västerbotten County",Sweden,63.8986,19.8494,70,call,"Unattended diurnal recording with hidden microphones at a nesting site. Compressed in time. I presume the two first calls are from the adult female, but could the third call be from the male?

bird-seen:no

playback-used:no",,520286,//creativecommons.org/licenses/by-nc-sa/4.0/,7.0,Fledging,,
89,89,Northern Goshawk,Accipiter gentilis,,Leif Arvidsson,1970-06-28,00:00,"Hornborgasjön, Västra Götalands län",Sweden,58.3217,13.5522,120,"adult, alarm call","

bird-seen:yes

playback-used:no",,519963,//creativecommons.org/licenses/by-nc-sa/4.0/,6.0,Incubation and nesting,,adult
90,90,Northern Goshawk,Accipiter gentilis,,Lars Edenius,2019-07-11,05:00,"Lögda, Åsele Municipality, Västerbottens län",Sweden,64.121,18.4643,260,"begging call, juvenile","

bird-seen:no

playback-used:no","Phylloscopus trochilus,Troglodytes troglodytes,Fringilla montifringilla,Muscicapa striata",512740,//creativecommons.org/licenses/by-nc-sa/4.0/,7.0,Fledging,,juvenile
91,91,Northern Goshawk,Accipiter gentilis,,Stephan Risch,2019-12-18,11:40,"D, NW, LEV, Opladen. Imbacher Weg, Garten und Gartenbrachen",Germany,51.0763,7.0154,80,"adult, call, female","

bird-seen:yes

playback-used:no",,512423,//creativecommons.org/licenses/by-nc-sa/4.0/,12.0,Non-breeding,male,adult
92,92,Northern Goshawk,Accipiter gentilis,,Lars Edenius,2019-07-11,04:00,"Lögda, Åsele Municipality, Västerbottens län",Sweden,64.121,18.4643,260,"begging call, juvenile","Unattended diurnal recording with hidden microphone 

bird-seen:no

playback-used:no","Muscicapa striata,Parus major",486807,//creativecommons.org/licenses/by-nc-sa/4.0/,7.0,Fledging,,juvenile
93,93,Northern Goshawk,Accipiter gentilis,,Lars Edenius,2019-07-03,20:00,"Brånsjön, Vännäs, Västerbotten County",Sweden,63.8986,19.8494,70,"begging call, juvenile","

bird-seen:no

playback-used:no","Muscicapa striata,Spinus spinus",484612,//creativecommons.org/licenses/by-nc-sa/4.0/,7.0,Fledging,,juvenile
94,94,Northern Goshawk,Accipiter gentilis,,Lars Edenius,2019-07-03,20:00,"Brånsjön, Vännäs, Västerbotten County",Sweden,63.8986,19.8494,70,"adult, call","Recorded with a hidden microphone

bird-seen:no

playback-used:no",,484611,//creativecommons.org/licenses/by-nc-sa/4.0/,7.0,Fledging,,adult
95,95,Northern Goshawk,Accipiter gentilis,,Lars Edenius,2019-07-04,05:00,"Brånsjön, Vännäs, Västerbotten County",Sweden,63.8986,19.8494,70,"begging call, call","Recorded close to nest with hidden microphone

bird-seen:no

playback-used:no","Sylvia borin,Anthus trivialis",484600,//creativecommons.org/licenses/by-nc-sa/4.0/,7.0,Fledging,,
96,96,Northern Goshawk,Accipiter gentilis,,brickegickel,2019-06-13,07:00,"Frankfurt am Main, Darmstadt, Hessen",Germany,50.1366,8.6917,140,call,"Aufnahme unter einem Habicht-Horst

bird-seen:no

playback-used:no",,481062,//creativecommons.org/licenses/by-nc-sa/4.0/,6.0,Incubation and nesting,,
97,97,Northern Goshawk,Accipiter gentilis,,Jarek Matusiak,2019-04-05,17:00,"Utrata, Middle Vistula River",Poland,52.4292,20.6469,80,"begging call, female, flight call, wings","

bird-seen:yes",,465232,//creativecommons.org/licenses/by-nc-sa/4.0/,4.0,Incubation and nesting,male,
98,98,Northern Goshawk,Accipiter gentilis,,Patrik Åberg,2018-08-11,14:33,"Tibro kommun, Västra Götalands län",Sweden,58.4243,14.1616,120,"alarm call, juvenile","Horror call from juvenil as taken care of injury.

bird-seen:yes

playback-used:no",,448699,//creativecommons.org/licenses/by-nc-sa/4.0/,8.0,Fledging,,juvenile
99,99,Northern Goshawk,Accipiter gentilis,,Beatrix Saadi-Varchmin,2018-10-21,07:21,"Hagenheimer Wald Süd, Hofstetten (near Landsberg), Upper Bavaria, Bavaria",Germany,47.995,10.9439,700,"call, flight call","a very restless Accipiter (same as in XC440320, I think) moving through and going round in circles over the forest and calling, nearly all the time I was present.

bird-seen:yes

playback-used:no",Loxia curvirostra,440323,//creativecommons.org/licenses/by-nc-sa/4.0/,10.0,Non-breeding,,
100,100,Northern Goshawk,Accipiter gentilis,,Beatrix Saadi-Varchmin,2018-10-18,07:22,"Hagenheimer Wald Süd, Hofstetten (near Landsberg), Upper Bavaria, Bavaria",Germany,47.995,10.9439,700,"call, flight call","a very restless Accipiter, moving through and going round in circles over the forest and calling, nearly all the time I was present  (about one hour). Pitch level some accelerating 

bird-seen:yes

playback-used:no","Fringilla coelebs,Fringilla montifringilla,Parus major,Cyanistes caeruleus,Corvus corone",440310,//creativecommons.org/licenses/by-nc-sa/4.0/,10.0,Non-breeding,,
101,101,Northern Goshawk,Accipiter gentilis,,Jack Berteau,2018-07-18,20:30,"Poitiers, Vienne, Nouvelle-Aquitaine",France,46.5827,0.3407,110,"call, juvenile","Calls from a juvenile 2 months old. Same brood as XC438940 and XC439068.

bird-seen:no

playback-used:no",,439075,//creativecommons.org/licenses/by-nc-sa/4.0/,7.0,Fledging,,juvenile
102,102,Northern Goshawk,Accipiter gentilis,,Jack Berteau,2018-06-25,09:30,"Poitiers, Vienne, Nouvelle-Aquitaine",France,46.5822,0.3393,110,begging call,"Calls from a fledgling around 5 weeks old. See XC438940 (18th June)

bird-seen:yes

playback-used:no","Erithacus rubecula,Phylloscopus bonelli,Turdus merula,Sylvia atricapilla,Columba palumbus,Fringilla coelebs",439068,//creativecommons.org/licenses/by-nc-sa/4.0/,6.0,Incubation and nesting,,
103,103,Northern Goshawk,Accipiter gentilis,,Jack Berteau,2018-06-18,09:00,"Poitiers, Vienne, Nouvelle-Aquitaine",France,46.5813,0.3419,110,call,"Calls from an adult perched not far from the nest (4 young). The location is deliberately incorrect.

bird-seen:no

playback-used:no","Erithacus rubecula,Fringilla coelebs",438943,//creativecommons.org/licenses/by-nc-sa/4.0/,6.0,Incubation and nesting,,
104,104,Northern Goshawk,Accipiter gentilis,,Jack Berteau,2018-06-18,09:00,"Poitiers, Vienne, Nouvelle-Aquitaine",France,46.5813,0.3419,110,"begging call, juvenile","Calls from a young aged approximately 4 weeks (the youngest of a clutch of 4 young). The location is deliberately incorrect. 

bird-seen:yes

playback-used:no","Erithacus rubecula,Fringilla coelebs",438940,//creativecommons.org/licenses/by-nc-sa/4.0/,6.0,Incubation and nesting,,juvenile
